SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),MA6_Temperature(°C),MA6_Max_Temperature(°C),MA6_Min_Temperature(°C),MA6_Humidity(%),MA6_Max_Humidity(%),MA6_Min_Humidity(%),MA6_Sunlight(Lux),MA6_Max_Sunlight(Lux),MA6_Min_Sunlight(Lux),MA6_Power(mW),MA6_Max_Power(mW),MA6_Min_Power(mW),Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50,Avg_Power(mW)
20240515090006,45.44,18.86,70353.52,45.87,19.53,96220.86,1009.01,44.91,18.33,12511.64,25.98,45.46,45.5,18.8,18.65,69545.65,68717.65,424.31,407.86,45.87,45.87,19.53,19.53,95485.94,94283.83,990.56,957.87,44.91,44.91,18.23,18.04,12511.64,12511.64,25.98,25.98,45.19,45.65,44.68,19.68,20.6,18.82,74188.85,81394.24,60968.87,586.01,727.17,359.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
20240515091006,46.13,17.89,86816.19,46.88,19.15,102093.04,1137.93,44.58,17.07,60502.57,438.28,46.24,46.24,17.86,17.98,90388.02,93172.1,915.94,961.51,46.88,46.88,18.84,19.48,102093.04,102093.04,1137.93,1137.93,45.42,45.43,17.07,17.07,67645.16,78548.59,534.83,704.35,45.64,46.15,44.95,18.98,19.99,18.16,78458.38,87349.98,62011.05,664.03,840.42,381.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
20240515092006,44.59,19.17,92698.44,45.15,19.98,106378.59,1249.79,44.09,18.37,72536.25,604.93,44.64,44.76,19.1,19.0,91495.08,90568.07,956.55,942.7,45.15,45.42,19.98,19.98,106378.59,106378.59,1249.79,1249.79,44.09,44.09,18.37,18.36,60502.57,60502.57,438.28,438.28,45.69,46.16,45.09,18.61,19.5,17.88,82394.67,93187.13,62916.68,741.34,957.74,403.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
20240515093006,41.9,22.91,98789.31,43.24,25.49,113492.41,1402.68,40.03,20.39,77565.7,689.63,42.31,42.64,22.34,21.86,95474.79,92335.83,1052.0,987.37,44.13,44.2,24.09,23.71,113492.41,113492.41,1402.68,1402.68,40.93,41.39,19.78,19.36,72536.25,72536.25,604.93,604.93,45.12,45.74,44.24,19.15,20.4,18.18,86274.1,98693.06,64175.99,824.82,1075.58,429.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
20240515094006,38.54,28.44,101973.91,39.16,30.7,113278.59,1454.36,37.47,27.0,89635.31,968.83,38.79,39.12,27.92,27.3,103578.52,104386.21,1248.34,1262.13,40.03,40.93,30.36,29.53,113278.59,113278.59,1454.36,1454.36,37.59,37.72,25.49,24.09,90122.27,90122.27,968.83,968.83,43.76,44.43,42.8,20.9,22.27,19.8,89439.2,103418.54,65568.27,902.64,1185.29,472.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
20240515095006,36.91,31.47,97006.45,37.5,32.99,109223.04,1390.35,36.11,30.56,85987.66,919.21,36.92,36.92,31.43,31.41,95901.01,95772.71,1124.59,1117.23,37.5,37.59,32.99,32.99,109223.04,109223.04,1390.35,1390.35,36.11,36.11,30.56,30.36,85987.66,85987.66,919.21,919.21,42.25,42.97,41.2,23.12,24.64,21.95,91272.97,106781.09,66456.52,972.37,1274.02,607.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
20240515100006,37.42,30.93,92921.43,38.27,32.07,117758.2,1648.08,36.87,29.44,61206.95,504.03,37.35,37.3,31.08,31.19,92044.2,90547.4,1075.7,1042.19,38.27,38.27,32.07,32.07,117758.2,117758.2,1648.08,1648.08,36.87,36.87,29.44,29.81,61206.95,61206.95,504.03,504.03,40.92,41.7,39.86,25.14,26.73,23.81,95034.29,110370.64,74572.41,1069.57,1380.53,687.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
20240515101006,37.64,30.08,93217.38,38.72,32.48,117758.2,1668.19,36.26,28.59,59915.0,514.5,37.83,37.96,29.8,29.54,93182.16,96155.09,1147.3,1203.42,38.72,38.72,31.96,30.93,117758.2,117758.2,1668.19,1668.19,36.65,36.86,28.59,28.59,59915.0,59915.0,514.5,514.5,39.5,40.34,38.47,27.17,28.95,25.73,96101.15,112981.5,74474.48,1119.5,1468.91,700.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
20240515102006,37.11,31.14,86444.24,37.88,32.24,117758.2,1803.56,36.51,29.83,65490.7,645.98,36.99,36.87,31.32,31.53,90824.3,92034.5,1188.56,1206.8,37.88,37.69,32.48,32.48,117758.2,117758.2,1803.56,1803.56,36.26,36.26,29.83,30.17,65490.7,65490.7,645.98,645.98,38.25,39.13,37.21,29.16,31.0,27.64,95058.79,114878.11,73300.22,1140.67,1561.2,707.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
20240515103006,36.88,31.59,83813.98,37.13,32.32,97097.73,1361.57,36.23,31.21,59972.5,563.64,36.93,37.02,31.5,31.32,84418.08,83677.95,1073.27,1057.81,37.44,37.88,32.32,32.32,97097.73,97097.73,1361.57,1361.57,36.23,36.23,30.66,29.83,66013.59,66013.59,680.02,680.02,37.42,38.11,36.57,30.61,32.13,29.44,92562.9,112145.66,70368.02,1131.12,1554.35,686.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
20240515104006,36.24,33.02,86542.89,36.57,33.73,116572.26,1883.77,35.93,32.16,53593.59,455.64,36.27,36.32,32.96,32.86,82716.8,79264.47,1082.05,993.8,36.95,37.05,33.73,33.73,116572.26,114029.68,1883.77,1827.14,35.93,35.93,31.55,31.55,53593.59,53593.59,455.64,455.64,37.03,37.68,36.32,31.37,32.64,30.3,89991.06,112694.6,64361.07,1123.62,1625.92,600.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
20240515105006,36.65,32.06,98822.91,37.36,33.43,110957.02,1794.26,35.9,30.96,86598.59,1229.15,36.71,36.75,31.93,31.9,98643.94,100828.4,1531.94,1571.76,37.36,37.36,32.94,32.94,110957.02,116572.26,1794.26,1883.77,36.16,36.28,30.96,30.96,86598.59,86598.59,1229.15,1229.15,36.99,37.66,36.28,31.47,32.71,30.36,90293.8,112983.6,64462.89,1189.77,1693.24,652.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
20240515110006,37.34,31.19,104864.54,38.25,33.21,117758.2,2030.46,35.73,30.03,96808.44,1605.69,37.1,36.93,31.53,31.81,104021.98,102583.59,1755.94,1713.57,37.88,37.88,33.43,33.43,117758.2,117758.2,2030.46,2030.46,35.73,35.73,30.07,30.23,96808.44,94727.66,1605.69,1485.55,36.98,37.65,36.09,31.51,32.9,30.46,92284.32,112983.6,70396.47,1304.38,1756.97,835.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,
20240515111006,37.07,31.52,88695.19,38.68,34.87,98256.72,1866.08,35.12,28.86,70193.13,1008.77,37.39,37.61,31.03,30.65,90101.6,91467.4,1568.18,1578.37,38.68,38.68,34.07,34.07,108448.59,109111.63,1924.12,1924.12,35.56,35.56,28.86,28.86,70193.13,70193.13,1008.77,1008.77,36.88,37.65,35.9,31.75,33.3,30.51,91530.62,109733.35,72109.49,1370.78,1789.95,918.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
20240515112006,35.64,34.49,94057.6,35.99,35.75,98432.8,2018.1,34.95,34.0,87762.97,1701.12,35.55,35.54,34.56,34.54,94296.58,94528.74,1877.81,1865.5,35.93,35.93,35.75,35.75,98432.8,98432.8,2018.1,2018.1,34.95,34.95,34.0,33.92,87762.97,87762.97,1701.12,1701.12,36.64,37.33,35.64,32.31,33.88,31.2,92799.52,106512.46,75821.54,1502.22,1825.71,1094.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
20240515113006,35.56,35.28,82432.72,35.88,36.0,87863.59,2011.09,35.33,34.66,72232.58,1405.07,35.59,35.6,35.15,35.09,82903.32,83430.16,1769.04,1762.16,35.99,35.99,36.0,36.0,91994.61,93132.03,1999.29,1930.48,35.33,35.33,34.16,34.16,72232.58,72232.58,1405.07,1405.07,36.42,37.12,35.49,32.93,34.5,31.78,92569.31,104973.43,77864.88,1621.62,1933.96,1234.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,
20240515114006,36.11,34.61,76279.32,36.4,35.32,83335.47,1998.46,35.72,34.21,62784.61,1369.26,36.11,36.06,34.65,34.7,78211.32,80158.41,1845.2,1885.32,36.4,36.4,35.49,35.49,87288.59,87863.59,2011.09,2011.09,35.72,35.72,34.21,34.21,62784.61,62784.61,1369.26,1369.26,36.4,37.09,35.46,33.19,34.76,32.12,90858.71,99433.97,79396.72,1726.65,1953.07,1386.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
20240515115006,35.26,36.18,69154.89,36.14,37.37,74958.44,2036.5,34.57,34.77,62024.53,1338.37,35.33,35.46,36.01,35.78,68455.91,67932.3,1667.98,1630.15,36.14,36.22,37.37,37.37,73628.75,73343.05,1976.45,1899.61,34.57,34.57,34.77,34.24,62024.53,62024.53,1338.37,1338.37,36.16,36.89,35.24,33.88,35.42,32.75,85914.04,93434.2,75301.04,1754.14,1993.45,1404.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
20240515120006,35.95,34.44,68438.12,36.5,36.09,74293.59,2035.66,35.14,33.19,55942.11,1262.44,35.8,35.66,34.79,35.11,68857.15,69263.78,1840.66,1846.05,36.45,36.3,36.71,36.71,74958.44,74958.44,2036.5,2036.5,35.02,34.99,33.42,33.81,55942.11,55942.11,1262.44,1262.44,35.93,36.6,35.14,34.42,35.9,33.28,79842.97,86190.1,68489.99,1762.1,1994.31,1347.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
20240515121006,35.95,34.73,73108.02,36.71,35.74,75064.45,2095.92,35.27,32.73,71398.83,2018.93,35.96,35.94,34.65,34.71,72964.26,72707.31,2052.41,2040.62,36.71,36.5,35.74,35.74,75064.45,75064.45,2095.92,2095.92,35.27,35.27,32.73,33.19,70768.13,69562.42,1961.44,1922.49,35.75,36.27,35.16,34.96,36.04,33.93,77245.11,82324.72,68690.94,1846.44,2032.62,1515.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,
20240515122006,36.42,33.91,72246.05,36.85,34.93,73373.59,2135.72,35.98,32.91,69866.09,2057.66,36.42,36.49,33.86,33.64,72301.76,72528.34,2085.04,2083.31,36.85,36.85,34.93,34.32,73373.59,73373.59,2135.72,2135.72,35.98,36.22,32.91,32.73,69866.09,71179.61,2057.66,2040.34,35.88,36.41,35.34,34.86,35.91,33.74,73609.85,78148.19,65708.12,1879.7,2052.22,1575.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
20240515123006,37.13,32.7,72990.86,38.0,34.14,75384.3,2134.52,36.42,31.09,69305.47,2047.74,36.97,36.77,33.02,33.41,72617.29,72140.94,2099.55,2095.43,37.96,37.84,34.48,34.93,75024.92,75024.92,2134.52,2134.52,36.4,35.98,31.09,31.64,69305.47,69305.47,2047.74,2047.74,36.14,36.77,35.52,34.43,35.6,33.15,72036.21,76068.31,65220.27,1933.58,2072.8,1682.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
20240515124006,36.23,33.99,59577.19,37.63,35.87,74591.88,2116.37,35.41,31.43,40747.73,707.9,36.48,36.73,33.54,33.06,62594.5,65982.69,1700.02,1839.11,38.0,38.0,35.87,35.8,75384.3,75384.3,2117.73,2117.73,35.41,35.46,31.22,31.09,40747.73,51124.68,707.9,1199.0,36.16,36.97,35.46,34.32,35.69,32.69,69252.52,74611.04,61547.46,1896.76,2092.45,1572.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
