Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Med_WindSpeed(m/s),Med_Pressure(hpa),Med_Temperature(°C),Med_Humidity(%),Med_Sunlight(Lux),Med_Power(mW)
2024,1,1,8,10,0.0,1017.44,18.3,83.79,2424.67,1.44,0.0,1017.47,18.3,84.2,2615.0,1.68,0.0,1017.41,18.3,83.3,2297.5,1.32,0.0,1017.45,18.3,83.75,2377.92,1.4
2024,1,1,8,20,0.0,1017.55,18.28,84.88,3204.5,2.37,0.0,1017.61,18.3,85.9,3445.83,2.72,0.0,1017.46,18.2,84.1,2590.0,1.64,0.0,1017.57,18.3,84.85,3286.67,2.4
2024,1,1,8,30,1.83,1017.64,18.23,85.92,4376.42,4.18,5.47,1017.75,18.3,86.2,5066.67,5.31,0.0,1017.57,18.2,85.5,3606.67,2.92,0.0,1017.63,18.2,86.0,4285.84,4.07
2024,1,1,8,40,0.38,1017.75,18.48,85.48,6681.33,9.76,3.83,1017.91,18.7,85.6,8046.67,13.72,0.0,1017.61,18.3,85.3,4726.67,4.73,0.0,1017.74,18.45,85.5,6959.16,10.39
2024,1,1,8,50,1.43,1017.91,18.77,87.74,6693.83,11.86,5.44,1017.95,18.9,90.2,8244.17,17.92,0.0,1017.87,18.6,85.3,5214.17,7.03,0.0,1017.92,18.8,87.65,6780.0,11.3
2024,1,1,9,00,1.92,1017.91,18.33,92.29,8395.25,17.37,4.89,1018.0,18.6,95.2,10420.83,25.92,0.0,1017.8,18.1,90.0,7011.67,12.32,1.13,1017.92,18.3,92.3,7807.08,14.82
2024,1,1,9,10,0.09,1017.96,18.02,97.37,7046.5,12.61,0.72,1018.06,18.1,99.2,8894.17,18.21,0.0,1017.81,17.9,95.7,5751.67,7.86,0.0,1017.99,18.05,97.35,6972.08,13.29
2024,1,1,9,20,0.02,1018.16,17.73,99.93,5919.58,8.81,0.18,1018.23,17.8,100.0,6904.17,11.39,0.0,1018.07,17.7,99.6,5519.17,7.47,0.0,1018.16,17.7,100.0,5752.92,8.6
2024,1,1,9,30,0.02,1018.21,17.9,100.0,8838.92,17.56,0.18,1018.24,18.1,100.0,10160.0,23.0,0.0,1018.18,17.7,100.0,7831.67,13.58,0.0,1018.2,17.95,100.0,8674.58,16.74
2024,1,1,9,40,0.04,1018.13,18.08,100.0,5774.66,7.51,0.12,1018.17,18.1,100.0,7083.33,11.39,0.0,1018.09,18.0,100.0,4800.83,5.26,0.0,1018.14,18.1,100.0,5740.83,7.04
2024,1,1,9,50,0.02,1018.03,17.83,100.0,5437.75,7.03,0.24,1018.1,18.0,100.0,5856.67,8.46,0.0,1017.97,17.7,100.0,5015.0,5.73,0.0,1018.03,17.8,100.0,5376.66,7.0
2024,1,1,10,00,0.0,1018.04,17.75,100.0,9312.75,19.71,0.0,1018.09,17.9,100.0,11179.17,27.44,0.0,1018.01,17.6,100.0,7365.83,12.21,0.0,1018.04,17.7,100.0,9051.25,18.06
2024,1,1,10,10,0.04,1017.88,17.99,100.0,9500.66,20.35,0.24,1017.95,18.0,100.0,10207.5,23.0,0.0,1017.79,17.9,100.0,8482.5,17.21,0.0,1017.88,18.0,100.0,9701.67,20.57
2024,1,1,10,20,0.02,1017.82,18.13,100.0,9711.58,20.43,0.24,1017.84,18.2,100.0,10446.67,24.01,0.0,1017.79,18.0,100.0,9205.83,17.92,0.0,1017.82,18.15,100.0,9460.0,19.28
2024,1,1,10,30,0.01,1017.82,18.2,100.0,7952.5,14.01,0.12,1017.86,18.2,100.0,9069.17,17.32,0.0,1017.78,18.2,100.0,5989.17,8.66,0.0,1017.82,18.2,100.0,8527.92,15.42
2024,1,1,10,40,0.58,1017.71,18.11,95.79,6422.5,9.33,1.62,1017.81,18.2,100.0,7929.17,13.55,0.0,1017.6,18.0,92.5,5651.67,7.47,0.51,1017.7,18.1,95.2,6230.42,8.6
2024,1,1,10,50,0.03,1017.55,18.21,93.92,7941.42,13.53,0.3,1017.58,18.4,95.7,8751.67,16.08,0.0,1017.52,18.0,91.6,6769.17,10.0,0.0,1017.56,18.2,94.3,8197.5,14.14
2024,1,1,11,00,0.2,1017.46,18.64,92.71,7700.92,13.2,1.02,1017.5,18.8,96.2,9161.67,17.76,0.0,1017.34,18.4,90.3,5464.17,6.83,0.06,1017.48,18.65,92.45,8421.25,15.12
2024,1,1,11,10,0.35,1017.28,18.78,87.1,6558.92,9.47,1.62,1017.37,18.8,89.1,7102.5,11.17,0.0,1017.17,18.7,85.4,5683.33,7.31,0.27,1017.28,18.8,86.85,6675.42,9.7
2024,1,1,11,20,0.25,1017.09,18.8,86.15,6868.25,10.26,0.84,1017.19,18.8,87.4,7480.83,11.99,0.0,1016.96,18.8,84.5,6213.33,8.66,0.12,1017.12,18.8,86.35,6957.92,10.55
2024,1,1,11,30,0.17,1016.87,18.94,84.1,8485.08,15.88,0.66,1016.98,19.1,85.1,11077.5,25.88,0.0,1016.7,18.9,82.7,6972.5,10.64,0.06,1016.88,18.9,84.15,7881.25,13.32
2024,1,1,11,40,0.06,1016.56,19.38,84.1,10389.83,22.82,0.42,1016.68,19.6,84.9,11090.0,25.92,0.0,1016.41,19.1,83.2,9510.83,19.07,0.0,1016.58,19.4,84.1,10497.92,23.06
2024,1,1,11,50,0.15,1016.36,19.77,80.9,9784.75,20.51,0.78,1016.42,19.8,84.5,10815.83,24.97,0.0,1016.24,19.7,79.6,8505.0,15.96,0.0,1016.38,19.8,80.4,9995.0,20.94
2024,1,1,12,00,0.43,1016.17,19.87,80.09,11379.0,27.05,0.96,1016.26,19.9,82.0,11718.33,28.36,0.0,1016.09,19.8,78.7,11049.17,25.1,0.24,1016.16,19.9,79.75,11392.92,27.2
2024,1,1,12,10,0.97,1015.97,19.96,77.42,9266.17,18.22,2.17,1016.06,20.0,79.2,10559.17,23.22,0.0,1015.91,19.9,76.5,8371.67,14.66,0.93,1015.97,20.0,77.1,8838.33,16.49
2024,1,1,12,20,0.4,1015.82,19.81,78.0,9845.92,20.46,0.84,1015.89,19.9,78.6,12273.33,30.74,0.0,1015.75,19.8,77.3,8944.17,16.93,0.42,1015.82,19.8,78.05,9632.5,19.69
2024,1,1,12,30,1.27,1015.67,20.04,76.07,16415.58,55.61,2.35,1015.78,20.2,78.1,20160.83,81.75,0.24,1015.58,19.9,74.9,13969.17,40.92,1.23,1015.66,20.0,76.05,15791.67,50.32
2024,1,1,12,40,0.75,1015.51,20.35,74.86,13374.75,37.65,1.75,1015.63,20.4,75.2,13988.33,41.16,0.0,1015.44,20.3,74.1,13003.33,35.68,0.57,1015.5,20.35,75.0,13285.83,37.5
2024,1,1,12,50,1.37,1015.42,20.29,74.1,10362.5,23.23,2.83,1015.45,20.4,74.5,12367.5,32.18,0.36,1015.37,20.1,73.5,8456.67,16.01,1.2,1015.43,20.35,74.05,10595.0,23.67
2024,1,1,13,00,0.39,1015.34,19.9,75.45,7872.25,13.66,1.81,1015.43,20.0,76.5,8490.0,15.96,0.0,1015.28,19.8,74.3,7093.33,11.17,0.21,1015.34,19.9,75.5,7778.34,13.34
2024,1,1,13,10,0.14,1015.27,19.88,77.24,6294.5,8.64,0.84,1015.36,19.9,77.9,6936.67,10.64,0.0,1015.16,19.8,76.5,5946.67,7.44,0.0,1015.28,19.9,77.35,6106.25,8.18
2024,1,1,13,20,0.32,1015.05,19.67,76.37,6342.5,8.51,0.78,1015.13,19.8,77.1,6664.17,9.22,0.0,1015.01,19.5,75.9,6089.17,7.94,0.3,1015.02,19.65,76.25,6323.75,8.53
2024,1,1,13,30,0.04,1015.0,19.49,77.68,5682.0,6.83,0.3,1015.02,19.5,78.4,6695.0,9.31,0.0,1014.96,19.4,77.4,4495.83,4.3,0.0,1015.0,19.5,77.55,5849.58,6.87
2024,1,1,13,40,0.11,1014.94,19.31,78.29,4557.08,4.3,0.48,1015.0,19.4,78.7,4756.67,4.6,0.0,1014.91,19.2,77.9,4171.67,3.8,0.0,1014.92,19.3,78.25,4624.16,4.35
2024,1,1,13,50,0.0,1015.0,19.04,80.3,3202.0,2.37,0.0,1015.05,19.2,82.6,4081.67,3.48,0.0,1014.95,18.8,78.9,2587.5,1.69,0.0,1015.0,19.1,79.9,3024.58,2.16
2024,1,1,14,00,0.11,1014.91,18.23,86.75,3045.08,2.15,0.36,1015.02,18.7,89.4,3736.67,3.01,0.0,1014.86,17.9,82.9,2740.83,1.85,0.06,1014.89,18.2,86.9,2868.75,1.98
2024,1,1,14,10,0.26,1014.93,17.87,89.61,3755.25,3.02,0.66,1014.97,17.9,90.0,3934.17,3.3,0.0,1014.87,17.8,89.2,3566.67,2.71,0.21,1014.93,17.9,89.55,3764.58,3.04
2024,1,1,14,20,0.04,1014.91,17.96,89.18,4500.33,4.3,0.24,1014.96,18.0,89.6,4705.83,4.69,0.0,1014.86,17.9,88.9,3940.0,3.37,0.0,1014.92,18.0,89.05,4593.33,4.37
2024,1,1,14,30,0.08,1014.79,18.2,88.3,4435.83,4.3,0.36,1014.86,18.3,88.7,4618.33,4.66,0.0,1014.73,18.1,87.7,4158.33,3.78,0.0,1014.78,18.2,88.45,4457.5,4.33
2024,1,1,14,40,0.02,1014.74,18.44,87.16,4597.33,4.65,0.18,1014.78,18.6,87.7,4690.83,4.77,0.0,1014.7,18.3,86.4,4483.33,4.36,0.0,1014.74,18.45,87.25,4612.08,4.68
2024,1,1,14,50,0.01,1014.66,18.71,85.76,4781.25,5.03,0.12,1014.72,18.8,86.7,5014.17,5.66,0.0,1014.61,18.6,84.9,4560.83,4.6,0.0,1014.66,18.7,85.8,4772.92,4.95
2024,1,1,15,00,0.07,1014.56,18.82,84.23,3589.83,2.98,0.24,1014.62,18.9,84.8,4385.83,4.28,0.0,1014.49,18.8,83.9,3150.83,2.36,0.0,1014.57,18.8,84.05,3578.33,2.98
2024,1,1,15,10,0.0,1014.54,18.7,84.73,3289.67,2.45,0.0,1014.61,18.8,85.2,3603.33,2.94,0.0,1014.48,18.6,84.2,2844.17,1.95,0.0,1014.53,18.7,84.7,3403.33,2.58
2024,1,1,15,20,0.14,1014.59,18.58,85.6,2496.08,1.49,0.54,1014.64,18.6,86.1,2920.0,1.96,0.0,1014.55,18.5,85.2,1914.17,0.94,0.15,1014.6,18.6,85.5,2564.58,1.54
2024,1,1,15,30,0.23,1014.63,18.43,84.87,2351.25,1.33,1.02,1014.67,18.5,85.9,2562.5,1.51,0.0,1014.6,18.4,83.8,2001.67,0.99,0.12,1014.63,18.4,84.75,2367.5,1.37
2024,1,1,15,40,0.05,1014.77,18.4,84.3,2545.17,1.52,0.24,1014.87,18.4,85.0,2593.33,1.64,0.0,1014.71,18.4,83.9,2481.67,1.43,0.0,1014.77,18.4,84.2,2563.34,1.49
2024,1,1,15,50,0.02,1014.96,18.29,86.6,2437.0,1.46,0.18,1015.04,18.4,87.0,2595.83,1.64,0.0,1014.87,18.2,85.8,2276.67,1.33,0.0,1014.96,18.3,86.75,2422.92,1.43
2024,1,1,16,00,0.0,1015.07,18.2,87.58,1810.67,0.86,0.0,1015.12,18.2,88.7,2192.5,1.17,0.0,1015.04,18.2,86.9,1345.83,0.53,0.0,1015.06,18.2,87.6,1892.92,0.91
2024,1,1,16,10,0.07,1015.17,17.98,89.35,1130.0,0.36,0.6,1015.21,18.1,90.0,1297.5,0.51,0.0,1015.12,17.8,88.6,1013.33,0.28,0.0,1015.18,18.0,89.6,1088.33,0.34
2024,1,1,16,20,0.08,1015.32,17.68,90.42,1000.58,0.29,0.54,1015.4,17.8,90.8,1035.0,0.31,0.0,1015.22,17.6,90.2,968.33,0.27,0.0,1015.34,17.7,90.35,997.08,0.28
2024,1,1,16,30,0.0,1015.47,17.5,91.18,795.42,0.21,0.0,1015.5,17.5,91.4,932.5,0.25,0.0,1015.42,17.5,90.8,723.33,0.18,0.0,1015.48,17.5,91.2,772.5,0.22
2024,1,1,16,40,0.02,1015.58,17.5,91.84,663.17,0.15,0.12,1015.68,17.5,92.2,793.33,0.2,0.0,1015.45,17.5,91.2,486.67,0.1,0.0,1015.6,17.5,91.95,665.42,0.16
2024,1,1,16,50,0.16,1015.69,17.44,93.07,368.67,0.06,0.42,1015.73,17.5,93.5,455.83,0.08,0.0,1015.64,17.3,92.1,235.0,0.04,0.15,1015.69,17.45,93.35,390.42,0.07
2024,1,1,17,00,0.07,1015.77,16.96,96.79,172.83,0.02,0.42,1015.81,17.3,99.6,219.17,0.03,0.0,1015.7,16.6,94.7,139.17,0.01,0.0,1015.78,16.95,96.4,166.67,0.02
2024,1,1,17,10,0.07,1015.92,16.39,100.0,95.83,0.01,0.24,1015.95,16.6,100.0,130.83,0.01,0.0,1015.84,16.2,100.0,64.17,0.0,0.0,1015.92,16.4,100.0,93.34,0.01
2024,1,1,17,20,0.04,1016.04,16.2,100.0,37.81,0.0,0.18,1016.08,16.2,100.0,58.33,0.01,0.0,1015.98,16.2,100.0,21.67,0.0,0.0,1016.06,16.2,100.0,35.83,0.0
2024,1,2,6,20,0.0,1014.51,12.61,100.0,100.24,0.02,0.0,1014.53,12.7,100.0,175.0,0.03,0.0,1014.49,12.6,100.0,32.5,0.0,0.0,1014.51,12.6,100.0,100.83,0.01
2024,1,2,6,30,0.0,1014.54,12.7,100.0,419.92,0.09,0.0,1014.57,12.7,100.0,695.83,0.18,0.0,1014.51,12.7,100.0,204.17,0.04,0.0,1014.55,12.7,100.0,400.42,0.08
2024,1,2,6,40,0.0,1014.55,12.62,100.0,1164.33,0.48,0.0,1014.59,12.7,100.0,1630.83,0.89,0.0,1014.53,12.6,100.0,767.5,0.21,0.0,1014.55,12.6,100.0,1137.5,0.42
2024,1,2,6,50,0.0,1014.6,12.65,100.0,2250.34,1.68,0.0,1014.62,12.8,100.0,2832.5,2.62,0.0,1014.58,12.6,100.0,1739.17,0.98,0.0,1014.6,12.6,100.0,2212.5,1.58
2024,1,2,7,00,0.0,1014.65,12.99,100.0,4352.58,8.3,0.0,1014.71,13.3,100.0,6717.5,28.1,0.0,1014.6,12.8,100.0,2971.67,2.99,0.0,1014.66,12.95,100.0,4278.33,6.42
2024,1,2,7,10,0.07,1014.81,14.44,100.0,8052.67,35.99,0.3,1014.84,15.4,100.0,9042.5,48.62,0.0,1014.74,13.4,100.0,7288.33,16.31,0.0,1014.82,14.45,100.0,8103.34,42.46
2024,1,2,7,20,0.39,1014.85,15.55,100.0,8764.0,28.9,0.84,1014.88,15.7,100.0,13939.17,95.91,0.0,1014.83,15.5,100.0,7242.5,15.93,0.39,1014.84,15.5,100.0,8484.17,22.52
2024,1,2,7,30,0.11,1014.92,16.24,100.0,15173.17,101.45,0.54,1015.0,17.0,100.0,21535.0,199.8,0.0,1014.88,15.8,100.0,8908.33,20.95,0.0,1014.92,16.15,100.0,14372.92,79.56
2024,1,2,7,40,0.06,1014.98,18.97,100.0,25676.25,265.02,0.36,1015.03,20.5,100.0,29289.17,324.51,0.0,1014.94,17.4,100.0,22824.17,221.9,0.0,1014.98,19.0,100.0,25268.75,256.68
2024,1,2,7,50,0.11,1014.9,22.21,90.75,32754.75,386.96,0.36,1014.99,23.5,100.0,36119.16,448.45,0.0,1014.84,20.9,81.6,29786.67,335.78,0.0,1014.9,22.25,89.8,32595.83,384.97
2024,1,2,8,00,0.29,1014.86,24.48,71.4,39953.71,513.66,0.9,1014.9,25.1,76.0,43283.12,573.65,0.0,1014.84,23.7,68.4,36809.16,460.88,0.09,1014.86,24.55,70.5,39940.0,511.25
2024,1,2,8,10,0.42,1014.87,25.97,63.99,46366.74,635.5,1.87,1014.89,26.3,69.5,48494.06,677.89,0.0,1014.84,25.3,60.4,43903.05,587.97,0.06,1014.87,26.15,62.6,46498.63,636.72
2024,1,2,8,20,0.32,1014.81,27.1,59.17,52176.04,767.84,0.9,1014.83,27.7,61.3,54863.98,845.96,0.0,1014.79,26.4,55.6,48504.84,669.89,0.21,1014.8,27.1,60.15,52642.14,776.13
2024,1,2,8,30,0.72,1014.8,27.78,55.52,57116.18,908.43,1.56,1014.82,28.0,56.4,58795.54,948.38,0.0,1014.77,27.7,54.7,55259.29,857.67,0.78,1014.8,27.75,55.55,57130.74,910.96
2024,1,2,8,40,0.98,1014.8,28.2,52.96,60843.08,1006.15,1.44,1014.82,28.3,54.5,62678.59,1055.19,0.48,1014.77,28.1,52.2,59456.79,966.76,0.96,1014.8,28.2,52.7,60700.23,1002.89
2024,1,2,8,50,0.1,1014.85,29.01,52.95,66731.44,1164.03,0.3,1014.89,30.1,54.2,68726.88,1220.94,0.0,1014.8,28.1,50.7,63296.71,1066.8,0.06,1014.84,28.95,53.25,67816.76,1193.24
2024,1,2,9,00,0.16,1014.78,31.01,47.78,70884.74,1277.55,0.54,1014.84,31.5,50.0,72723.13,1319.39,0.0,1014.74,30.4,46.2,68513.05,1221.85,0.06,1014.79,31.15,47.4,71574.92,1296.3
2024,1,2,9,10,0.08,1014.7,32.07,45.06,75632.26,1369.8,0.3,1014.78,32.6,46.3,78031.09,1406.3,0.0,1014.66,31.6,43.8,73096.88,1327.09,0.0,1014.68,32.05,44.75,75676.29,1373.94
2024,1,2,9,20,0.67,1014.66,32.71,41.56,81495.07,1462.67,0.84,1014.69,33.0,42.6,84056.02,1497.86,0.36,1014.62,32.3,40.9,78433.59,1417.76,0.72,1014.67,32.8,41.6,81982.42,1473.24
2024,1,2,9,30,0.71,1014.54,32.2,41.67,89049.71,1540.4,1.32,1014.61,32.5,43.5,92993.67,1572.2,0.0,1014.5,32.0,40.6,84976.02,1512.69,0.69,1014.51,32.15,41.4,89001.02,1535.0
2024,1,2,9,40,0.22,1014.44,32.89,39.65,97289.46,1594.3,0.54,1014.51,33.5,40.3,100168.59,1602.66,0.0,1014.37,32.6,38.9,94023.28,1585.91,0.18,1014.44,32.75,39.75,97451.72,1594.32
2024,1,2,9,50,0.47,1014.27,33.88,37.9,102983.39,1631.14,1.14,1014.35,34.2,39.2,105422.65,1642.28,0.0,1014.17,33.6,37.1,100249.45,1611.75,0.45,1014.27,33.9,37.85,102863.0,1633.19
2024,1,2,10,00,0.46,1014.15,34.5,36.79,106164.94,1659.6,0.96,1014.19,34.6,37.8,106676.87,1670.87,0.0,1014.11,34.4,35.4,105747.88,1649.86,0.39,1014.15,34.5,37.05,106197.1,1658.95
2024,1,2,10,10,0.19,1014.0,34.81,35.28,106549.29,1671.31,0.66,1014.11,35.0,36.1,107338.12,1681.37,0.0,1013.9,34.6,34.1,105688.59,1666.28,0.06,1014.0,34.75,35.35,106413.62,1670.18
2024,1,2,10,20,0.12,1013.71,35.57,34.22,105218.34,1674.38,0.48,1013.87,36.2,35.7,105528.66,1685.76,0.0,1013.63,35.0,33.5,104842.26,1659.64,0.0,1013.68,35.65,33.9,105267.22,1672.79
2024,1,2,10,30,0.03,1013.55,37.08,32.38,105219.6,1669.7,0.3,1013.63,37.8,33.2,105711.95,1677.23,0.0,1013.49,36.4,30.9,104561.95,1663.99,0.0,1013.54,37.05,32.75,105259.13,1667.81
2024,1,2,10,40,0.17,1013.4,37.96,29.79,105003.8,1689.69,0.72,1013.48,38.1,30.5,106029.99,1696.77,0.0,1013.33,37.8,29.1,104193.59,1685.76,0.0,1013.4,38.0,29.8,104944.68,1687.14
2024,1,2,10,50,0.95,1013.25,37.9,29.29,106520.36,1708.54,3.23,1013.32,38.0,29.7,108313.82,1724.74,0.0,1013.18,37.6,28.3,104583.51,1692.92,0.27,1013.26,37.95,29.4,106659.8,1705.35
2024,1,2,11,00,0.36,1013.1,37.48,29.8,110266.49,1710.23,2.67,1013.15,37.6,30.5,111420.62,1720.39,0.0,1013.0,37.3,29.2,108793.59,1694.46,0.0,1013.11,37.5,29.55,110269.72,1710.0
2024,1,2,11,10,1.52,1012.9,37.33,29.07,111173.91,1734.2,3.51,1012.99,37.7,30.1,112243.59,1752.15,0.0,1012.77,36.9,28.2,110856.4,1713.64,1.32,1012.95,37.4,29.0,111024.4,1737.18
2024,1,2,11,20,2.43,1012.66,36.94,29.58,111791.31,1727.19,4.84,1012.77,37.1,30.1,112358.59,1745.64,0.0,1012.53,36.8,28.9,111305.62,1712.86,2.73,1012.68,36.95,29.55,111815.04,1723.34
2024,1,2,11,30,0.73,1012.47,37.33,29.77,115772.11,1760.06,5.06,1012.53,38.0,30.0,117758.2,1785.08,0.0,1012.38,37.0,29.5,111323.59,1733.38,0.0,1012.48,37.15,29.8,116717.8,1756.78
2024,1,2,11,40,1.31,1012.24,38.76,28.02,117015.55,1766.71,4.74,1012.36,39.2,28.7,117758.2,1822.63,0.0,1012.13,38.3,27.4,111395.46,1688.06,0.0,1012.22,38.75,28.0,117758.2,1768.59
2024,1,2,11,50,0.0,1011.97,39.27,26.87,112245.02,1728.95,0.0,1012.12,39.8,28.4,116015.23,1759.3,0.0,1011.84,38.6,26.0,101548.59,1622.52,0.0,1011.93,39.35,26.65,113628.08,1738.74
2024,1,2,12,00,0.0,1011.71,38.15,27.69,108139.88,1705.11,0.0,1011.87,38.4,28.3,110807.88,1751.37,0.0,1011.59,38.0,27.3,106782.88,1670.1,0.0,1011.69,38.15,27.55,108156.6,1705.35
2024,1,2,12,10,0.53,1011.46,39.16,27.13,112015.2,1703.99,5.35,1011.54,40.0,28.7,115693.59,1752.93,0.0,1011.38,38.2,25.4,106932.02,1654.98,0.0,1011.46,39.2,27.25,113092.61,1704.19
2024,1,2,12,20,0.44,1011.28,39.46,25.97,112181.24,1733.1,4.42,1011.37,39.9,26.6,117323.35,1807.34,0.0,1011.18,39.0,25.0,79624.92,1209.39,0.0,1011.29,39.5,25.9,115741.2,1791.66
2024,1,2,12,30,1.31,1011.13,38.74,27.29,105787.42,1664.08,5.37,1011.18,38.9,28.1,114160.85,1822.04,0.0,1011.06,38.5,26.5,53523.51,545.36,0.0,1011.12,38.75,27.35,111120.54,1779.25
2024,1,2,12,40,1.3,1010.93,37.61,29.05,108307.89,1791.86,4.74,1011.04,38.3,30.3,111323.59,1836.48,0.0,1010.88,36.8,28.0,104394.84,1740.07,0.0,1010.92,37.65,29.0,108426.12,1794.96
2024,1,2,12,50,2.67,1010.77,36.18,31.07,108356.05,1791.78,5.18,1010.85,36.5,31.5,111323.59,1838.4,0.0,1010.69,36.0,30.3,103632.96,1736.96,3.77,1010.76,36.15,31.1,109108.94,1788.5
2024,1,2,13,00,2.81,1010.64,35.78,32.03,84260.32,1329.92,4.63,1010.74,36.2,32.8,107068.59,1869.78,0.0,1010.59,34.9,31.4,52520.86,537.5,3.84,1010.62,35.95,31.9,84871.8,1426.52
2024,1,2,13,10,1.98,1010.51,33.88,34.45,44256.17,417.97,5.48,1010.58,34.7,35.9,65158.28,875.93,0.0,1010.48,32.8,33.1,39673.33,327.52,0.0,1010.5,34.0,34.4,40620.16,342.46
2024,1,2,13,20,3.33,1010.49,31.71,38.28,37400.8,291.34,5.23,1010.52,32.5,40.2,42632.66,379.44,0.0,1010.44,30.7,36.5,33062.5,225.62,4.64,1010.5,31.8,38.2,36958.75,283.58
2024,1,2,13,30,2.85,1010.44,29.72,42.1,30432.31,195.89,5.4,1010.47,30.5,43.7,33578.33,235.32,0.0,1010.38,29.0,40.6,27755.83,163.55,4.83,1010.45,29.7,41.9,29661.67,186.13
2024,1,2,13,40,1.21,1010.3,28.73,44.72,27421.75,160.57,4.57,1010.38,28.8,45.2,29382.5,182.9,0.0,1010.26,28.7,44.0,24704.17,131.36,0.0,1010.28,28.7,44.85,27596.66,161.89
2024,1,2,13,50,1.49,1010.24,28.55,45.71,23782.67,122.99,5.48,1010.28,28.8,46.6,24770.83,131.57,0.0,1010.2,28.1,45.1,23030.0,116.8,0.0,1010.24,28.65,45.65,23671.66,122.06
2024,1,2,14,00,1.88,1010.22,27.71,47.44,21780.62,105.78,5.48,1010.25,28.0,47.8,22315.83,111.13,0.0,1010.17,27.4,46.8,21220.0,100.63,0.0,1010.22,27.75,47.5,21919.16,106.44
2024,1,2,14,10,3.7,1010.17,27.12,48.79,18929.33,81.01,5.24,1010.22,27.4,49.4,20699.17,96.21,0.0,1010.14,26.9,47.9,16899.17,65.4,4.47,1010.17,27.1,48.8,19284.16,83.24
2024,1,2,14,20,3.83,1010.11,26.8,49.93,15685.08,56.43,4.85,1010.16,26.9,50.6,16624.17,63.43,0.0,1010.08,26.6,49.2,13975.83,44.71,4.12,1010.1,26.85,49.95,16119.17,59.11
2024,1,2,14,30,2.95,1010.05,26.07,51.61,12507.5,36.42,5.23,1010.1,26.5,52.3,13658.33,43.02,0.0,1009.99,25.7,50.8,11659.17,31.97,3.82,1010.06,26.05,51.7,12350.84,35.47
