DateTime,SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_WindSpeed(m/s),Avg_Diff_Pressure(hpa),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_WindSpeed(m/s),Min_Diff_Pressure(hpa),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW)
2024-04-18 14:50:00,20240418145004,4,2024,4,18,14,50,1.36,1004.86,22.98,92.06,9302.92,15.58,0.0,-0.0,-0.01,0.01,-210.42,-0.57,0.87,1004.84,22.92,91.66,7660.0,10.38,-1.04,-0.04,-0.04,-0.59,-2034.17,-4.91,2.09,1004.91,23.02,92.29,11924.17,23.63,0.87,0.06,0.03,0.31,1426.66,4.2
2024-04-18 15:00:00,20240418150004,4,2024,4,18,15,0,1.22,1004.91,22.81,92.98,5054.58,4.54,0.03,0.01,-0.02,0.11,-104.75,-0.32,0.52,1004.88,22.71,92.43,3595.0,2.28,-0.87,-0.04,-0.07,-0.49,-1442.5,-4.17,1.74,1004.95,22.92,93.37,6612.5,7.23,1.04,0.08,0.02,0.43,1656.67,2.77
2024-04-18 15:10:00,20240418151004,4,2024,4,18,15,10,1.12,1004.84,22.93,92.69,10810.42,19.53,-0.06,-0.02,0.03,-0.08,589.25,1.77,0.26,1004.73,22.78,92.2,7754.17,9.74,-1.48,-0.07,-0.08,-0.3,-594.17,-0.77,2.53,1004.92,23.04,93.17,13099.17,25.85,1.83,0.04,0.07,0.3,1916.66,4.47
2024-04-18 15:20:00,20240418152004,4,2024,4,18,15,20,1.2,1004.84,22.95,92.51,7762.08,12.74,0.07,0.01,-0.02,0.05,-665.58,-1.98,0.26,1004.72,22.81,91.81,4090.0,3.55,-1.83,-0.04,-0.06,-0.55,-3343.34,-10.79,2.61,1004.92,23.06,93.04,13280.0,29.4,1.31,0.08,0.04,0.46,960.83,3.35
2024-04-18 15:30:00,20240418153004,4,2024,4,18,15,30,0.27,1004.85,22.8,93.12,4296.67,3.15,-0.18,-0.0,-0.0,0.04,-164.67,-0.26,0.0,1004.8,22.77,92.74,3328.33,1.81,-1.83,-0.05,-0.06,-0.3,-1407.5,-1.88,1.83,1004.88,22.85,93.44,6308.33,6.01,1.13,0.05,0.04,0.37,459.16,0.6
2024-04-18 15:40:00,20240418154004,4,2024,4,18,15,40,0.59,1004.96,22.65,93.62,4184.0,2.94,0.06,0.01,-0.02,0.0,73.17,0.21,0.0,1004.89,22.57,93.1,3110.83,1.62,-0.7,-0.06,-0.05,-0.38,-806.67,-1.19,1.48,1005.04,22.75,93.88,5687.5,4.64,1.48,0.06,0.01,0.47,1485.0,1.99
2024-04-18 15:50:00,20240418155004,4,2024,4,18,15,50,0.31,1004.98,22.74,93.73,5881.08,6.21,-0.01,0.01,0.01,0.04,-67.17,-0.16,0.0,1004.93,22.66,93.49,4262.5,3.04,-0.61,-0.04,-0.03,-0.23,-1002.5,-1.1,1.13,1005.02,22.77,93.87,7028.33,8.46,0.69,0.07,0.09,0.24,1305.83,2.18
2024-04-18 16:00:00,20240418160004,4,2024,4,18,16,0,0.95,1004.96,22.68,93.8,5468.25,5.63,0.06,-0.01,-0.0,-0.02,59.0,0.11,0.0,1004.94,22.6,93.63,3550.83,2.52,-0.78,-0.03,-0.07,-0.22,-1341.67,-2.02,1.83,1005.0,22.79,93.92,7310.0,9.02,0.87,0.01,0.1,0.12,1232.5,2.32
2024-04-18 16:10:00,20240418161004,4,2024,4,18,16,10,0.76,1005.16,22.59,93.8,4037.42,3.21,-0.08,0.03,-0.02,0.01,13.83,0.04,0.0,1004.96,22.52,93.61,3091.67,1.94,-1.05,-0.02,-0.09,-0.32,-725.83,-0.99,2.0,1005.25,22.68,93.93,4990.83,4.62,0.87,0.08,0.01,0.18,645.0,1.3
2024-04-18 16:20:00,20240418162004,4,2024,4,18,16,20,0.72,1005.21,22.5,93.85,5036.83,4.59,0.09,0.0,-0.01,0.01,50.75,-0.01,0.0,1005.11,22.43,93.71,4199.17,2.78,-1.4,-0.05,-0.05,-0.28,-682.5,-0.99,1.57,1005.3,22.55,93.99,5565.0,6.56,1.31,0.09,0.03,0.14,535.0,1.06
2024-04-18 16:30:00,20240418163004,4,2024,4,18,16,30,0.48,1005.3,22.45,93.91,4358.5,3.48,-0.05,0.0,-0.0,-0.01,-284.42,-0.34,0.0,1005.25,22.39,93.75,2368.33,1.12,-0.96,-0.05,-0.04,-0.27,-838.34,-0.82,1.31,1005.38,22.51,94.03,6088.33,5.57,0.79,0.06,0.04,0.18,489.17,0.85
2024-04-18 16:40:00,20240418164004,4,2024,4,18,16,40,0.83,1005.29,22.28,94.09,2971.83,1.6,-0.04,0.0,-0.01,0.05,52.0,0.07,0.0,1005.25,22.23,93.81,2322.5,1.03,-1.22,-0.02,-0.06,-0.21,-685.83,-0.67,2.09,1005.32,22.33,94.25,3860.0,2.52,1.31,0.03,0.03,0.15,445.83,0.56
2024-04-18 16:50:00,20240418165004,4,2024,4,18,16,50,1.48,1005.43,22.18,94.29,1859.75,0.66,0.23,0.02,-0.02,0.02,-170.33,-0.15,0.96,1005.36,22.1,94.15,1470.83,0.39,-0.96,-0.04,-0.05,-0.17,-632.5,-0.72,2.53,1005.51,22.28,94.43,2541.67,1.13,1.3,0.09,0.02,0.14,160.83,0.18
2024-04-18 17:00:00,20240418170004,4,2024,4,18,17,0,0.61,1005.56,22.07,94.38,1374.0,0.37,-0.23,0.01,-0.0,0.0,-48.17,-0.02,0.0,1005.53,22.05,94.16,989.17,0.16,-2.0,-0.02,-0.03,-0.17,-312.5,-0.25,2.09,1005.65,22.1,94.5,1709.17,0.64,1.13,0.07,0.03,0.15,221.67,0.14
2024-04-19 06:30:00,20240419063004,4,2024,4,19,6,30,0.03,1006.72,22.44,90.28,5780.08,5.85,0.0,0.01,0.03,-0.05,52.42,0.07,0.0,1006.65,22.31,89.62,5601.67,5.53,-0.35,-0.02,0.01,-0.66,-21.67,-0.25,0.35,1006.79,22.59,91.05,5992.5,6.1,0.35,0.05,0.05,0.61,133.34,0.33
2024-04-19 06:40:00,20240419064004,4,2024,4,19,6,40,0.03,1006.88,22.61,88.41,5819.08,5.68,0.03,0.02,0.0,-0.33,-20.08,-0.05,0.0,1006.79,22.6,87.35,5647.5,5.39,0.0,0.0,-0.03,-1.2,-85.0,-0.3,0.35,1007.0,22.66,90.35,5979.17,6.05,0.35,0.06,0.05,0.68,94.17,0.13
2024-04-19 06:50:00,20240419065004,4,2024,4,19,6,50,0.1,1007.06,22.77,87.41,7363.83,8.89,-0.03,0.01,0.03,-0.01,333.83,0.79,0.0,1006.99,22.61,86.72,5928.33,5.63,-0.7,-0.02,-0.02,-1.05,136.66,0.06,0.7,1007.11,22.96,88.2,9130.0,13.5,0.35,0.04,0.06,1.2,485.0,1.47
